,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,bosaso,11.2842,49.1816,93.24,43,7,3.83,SO,1623090310
121,nenjiang,49.1833,125.2167,56.95,69,6,6.69,CN,1623090310
122,ampanihy,-24.7,44.75,62.6,70,0,14.83,MG,1623090310
123,tahta,26.7693,31.5021,89.92,14,25,12.77,EG,1623090311
124,mehamn,71.0357,27.8492,48.11,56,65,5.39,NO,1623090311
125,shelburne,44.0787,-80.2041,84.27,44,88,14.27,CA,1623090312
126,alofi,-19.0595,-169.9187,73.29,94,87,3.44,NU,1623090312
127,khash,28.2211,61.2158,87.85,23,3,5.91,IR,1623090312
128,yeppoon,-23.1333,150.7333,60.58,82,8,5.08,AU,1623090248
129,theunissen,-28.411,26.7011,46.53,57,4,5.03,ZA,1623090313
130,kapaa,22.0752,-159.319,80.58,73,1,1.99,US,1623090313
131,rovaniemi,66.5,25.7167,69.21,37,0,5.75,FI,1623090314
132,makakilo city,21.3469,-158.0858,79.12,60,1,11.5,US,1623090314
133,pevek,69.7008,170.3133,36.7,88,91,7.36,RU,1623090315
134,puerto ayora,-0.7393,-90.3518,82.36,84,89,10.0,EC,1623090315
135,hobyo,5.3505,48.5268,78.98,87,50,25.77,SO,1623090316
